n_anchors,room,room_x,room_y,room_z,trajectory,escenario_error,heterogeneo,n_componentes_error,repeat,n_points,n_valid,mean_error_m,rms_error_m,max_error_m,min_error_m,csv_file
3,hab_custom,5,8,3,line,combo_gausss0p02_unifsym0p05,False,2,2,60,60,0.023842944320392703,0.026358688010377957,0.049701006105488964,0.0034321403422452666,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p02_unifsym0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_gausss0p02_unifsym0p05,False,2,3,60,60,0.023340814564670905,0.02577622251909961,0.0494033426204066,0.003922384746781859,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p02_unifsym0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_gausss0p02_unifsym0p1,False,2,1,60,60,0.033497881380335,0.03749501831852638,0.08976643790327006,0.005743689457692136,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p02_unifsym0p1_rep1.csv
3,hab_custom,5,8,3,line,combo_gausss0p02_unifsym0p1,False,2,2,60,60,0.03271204363741973,0.035303661813508906,0.0663660946377939,0.004375080691886993,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p02_unifsym0p1_rep2.csv
3,hab_custom,5,8,3,line,combo_gausss0p02_unifsym0p1,False,2,3,60,60,0.03256254895889497,0.0372346271312417,0.10947548096316227,0.008015456660006963,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p02_unifsym0p1_rep3.csv
3,hab_custom,5,8,3,line,combo_gausss0p05_unifsym0p05,False,2,1,60,60,0.04055191972790337,0.04492599334335378,0.10001640972681042,0.014319928332270101,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p05_unifsym0p05_rep1.csv
3,hab_custom,5,8,3,line,combo_gausss0p05_unifsym0p05,False,2,2,60,60,0.06177311094154285,0.07265526370751697,0.16652310817851945,0.007482137819791277,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p05_unifsym0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_gausss0p05_unifsym0p05,False,2,3,60,60,0.0675407844115142,0.08181507781267787,0.19164626711288532,0.004960004171226235,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p05_unifsym0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_gausss0p05_unifsym0p1,False,2,1,60,60,0.06759158339206821,0.09112050020641717,0.25963598100283186,0.01011407204246516,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p05_unifsym0p1_rep1.csv
3,hab_custom,5,8,3,line,combo_gausss0p05_unifsym0p1,False,2,2,60,60,0.06689109216429204,0.0750942811148963,0.16021952755306149,0.006043953403177276,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p05_unifsym0p1_rep2.csv
3,hab_custom,5,8,3,line,combo_gausss0p05_unifsym0p1,False,2,3,60,60,0.053118079321634766,0.059926523260666234,0.18260334427568703,0.004185162529072391,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p05_unifsym0p1_rep3.csv
3,hab_custom,5,8,3,line,heter_A1-gaussP_A2-biasP_A3-unifS_tag-gaussP,True,4,1,60,60,0.09821703944321157,0.1013026585289292,0.1509334838675139,0.04864270411042613,simulacion_uwb_3anclas_hab_custom_line_heter_A1-gaussP_A2-biasP_A3-unifS_tag-gaussP_rep1.csv
3,hab_custom,5,8,3,line,heter_A1-gaussP_A2-biasP_A3-unifS_tag-gaussP,True,4,2,60,60,0.11394805525609637,0.11854749426755284,0.18696102282372737,0.05455822839611071,simulacion_uwb_3anclas_hab_custom_line_heter_A1-gaussP_A2-biasP_A3-unifS_tag-gaussP_rep2.csv
3,hab_custom,5,8,3,line,heter_A1-gaussP_A2-biasP_A3-unifS_tag-gaussP,True,4,3,60,60,0.1340747991769703,0.14341895748207878,0.29817363590940615,0.07793983138314697,simulacion_uwb_3anclas_hab_custom_line_heter_A1-gaussP_A2-biasP_A3-unifS_tag-gaussP_rep3.csv
3,hab_custom,5,8,3,line,heter_A1-none_A2-gaussN_A3-gauss0_tag-gaussN,True,3,1,60,60,0.09359221172706664,0.09747110130344862,0.1684491470686494,0.056053799018733697,simulacion_uwb_3anclas_hab_custom_line_heter_A1-none_A2-gaussN_A3-gauss0_tag-gaussN_rep1.csv
3,hab_custom,5,8,3,line,heter_A1-none_A2-gaussN_A3-gauss0_tag-gaussN,True,3,2,60,60,0.08589176017518813,0.09035708625910487,0.17325548951481387,0.017295493026253717,simulacion_uwb_3anclas_hab_custom_line_heter_A1-none_A2-gaussN_A3-gauss0_tag-gaussN_rep2.csv
3,hab_custom,5,8,3,line,heter_A1-none_A2-gaussN_A3-gauss0_tag-gaussN,True,3,3,60,60,0.09623884769569088,0.1036688149511691,0.23329360245778075,0.05387881383617453,simulacion_uwb_3anclas_hab_custom_line_heter_A1-none_A2-gaussN_A3-gauss0_tag-gaussN_rep3.csv
3,hab_custom,5,8,3,line,heter_A1-unifP_A2-gaussN_A3-unifP_tag-biasN,True,4,1,60,60,0.09315990740083693,0.10094127265854726,0.19216942292637051,0.02027760086388539,simulacion_uwb_3anclas_hab_custom_line_heter_A1-unifP_A2-gaussN_A3-unifP_tag-biasN_rep1.csv
